"No.","Time","Source","Destination","Protocol","Length","Info"
"61","1.581043962","172.17.60.166","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"62","1.630813870","fe80::70f1:cdff:fe6f:2296","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"63","1.648322584","fe80::1455:4424:feef:4c5a","ff02::fb","MDNS","147","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question"
"64","1.650043810","172.17.61.133","224.0.0.251","MDNS","127","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question"
"65","1.651438060","172.17.60.2","224.0.0.18","VRRP","60","Announcement (v2)"
"66","1.696189792","fe80::106b:eb0c:f6d:c7b9","ff02::1:ffef:4c5a","ICMPv6","86","Neighbor Solicitation for fe80::1455:4424:feef:4c5a from 5a:7d:55:c9:6b:9a"
"67","1.807490654","172.17.60.47","224.0.0.251","MDNS","117","Standard query response 0x0000 PTR 0X1622â\200\231s MacBook Air._companion-link._tcp.local"
"68","1.821205820","172.17.60.113","224.0.0.251","MDNS","871","Standard query response 0x0000 PTR Harshit's MacBook Air._airplay._tcp.local PTR 06A439748982@Harshit's MacBook Air._raop._tcp.local SRV, cache flush 0 0 7000 Harshits-MacBook-Air.local TXT, cache flush SRV, cache flush 0 0 7000 Harshits-MacBook-Air.local TXT, cache flush A, cache flush 172.17.60.113 NSEC, cache flush Harshit's MacBook Air._airplay._tcp.local NSEC, cache flush 06A439748982@Harshit's MacBook Air._raop._tcp.local NSEC, cache flush Harshits-MacBook-Air.local"
"69","1.844688042","ce:22:b5:ab:cf:45","Intel_30:32:07","ARP","56","Who has 172.17.60.47? Tell 172.17.61.133"
"70","2.115056607","172.17.61.78","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"71","2.115138804","172.17.61.212","224.0.0.251","MDNS","310","Standard query response 0x0000 AAAA, cache flush fe80::1c8a:257:1e55:1f58 A, cache flush 172.17.61.212 TXT, cache flush PTR _asquic._udp.local PTR EA8BA50D-4F00-4DFD-9793-655BFC400B82._asquic._udp.local SRV, cache flush 0 0 56082 9cac93d9-d889-4f29-b4ca-64ed522fe5af.local NSEC, cache flush 9cac93d9-d889-4f29-b4ca-64ed522fe5af.local NSEC, cache flush EA8BA50D-4F00-4DFD-9793-655BFC400B82._asquic._udp.local"
"72","2.115410543","fe80::c09:31ad:3db9:9463","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"73","2.115410850","fe80::1c8a:257:1e55:1f58","ff02::fb","MDNS","330","Standard query response 0x0000 AAAA, cache flush fe80::1c8a:257:1e55:1f58 A, cache flush 172.17.61.212 TXT, cache flush PTR _asquic._udp.local PTR EA8BA50D-4F00-4DFD-9793-655BFC400B82._asquic._udp.local SRV, cache flush 0 0 56082 9cac93d9-d889-4f29-b4ca-64ed522fe5af.local NSEC, cache flush 9cac93d9-d889-4f29-b4ca-64ed522fe5af.local NSEC, cache flush EA8BA50D-4F00-4DFD-9793-655BFC400B82._asquic._udp.local"
"74","2.154437155","172.17.61.78","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"75","2.199731621","IETF-VRRP-VRID_02","Intel_30:32:07","ARP","56","Who has 172.17.61.133? Tell 172.17.60.1"
"76","2.215567503","fe80::c8d:5120:59d1:acf5","ff02::1:ff4f:9e2b","ICMPv6","86","Neighbor Solicitation for fe80::c08:20b6:ed4f:9e2b from 42:40:2f:3b:6a:dc"
